BALANCE;PURCHASES;CREDIT_LIMIT
8181.251131;2258.01;13500
4037.305658;45;4500
6110.265264;0;6500
9381.255094;5100.07;9000
1977.00709;1032.04;4000
1321.47608;45.65;1800
1307.717841;405.6;2400
2329.485768;213.34;2400
1139.782882;0;1200
1619.955708;739.44;6000
3505.671311;0;4000
4.708041;79;7000
0;0;3000
4.875885;20;1500
23.394411;1346.28;2000
3539.801912;2823.8;5700
0.62424;389.96;4500
862.07238;0;4000
2441.542991;808;4000
408.656365;941.64;2500
4986.400804;0;8000
1246.624558;423.7;2000
6644.201651;4478.75;9000
156.216753;1354.86;5500
3393.351236;0;4200
5322.994094;2812.2;8500
6458.56209;0;7000
175.341651;1508.9;5000
680.195157;1045.57;3000
223.763616;2309.78;6500
1785.626943;0;1800
54.933231;495;7000
2662.629852;0;3000
8504.876253;6724.26;17000
1464.324632;1174.39;9000
2114.158683;5580.85;8500
2876.396444;0;3200
14224.11541;0;19000
2392.917738;12462.44;2800
57.453201;0;1200
4245.855092;1957.3;5000
11167.23403;150.64;17000
69.405545;0;13000
116.654149;907;5000
4637.848144;1271.12;5000
24.28497;250.6;3000
9354.06045;796.33;13000
231.108995;440;4000
1562.633343;1330.62;2000
2494.868559;5491.79;17000
706.132889;897.86;1200
19043.13856;22009.92;18000
2235.103331;720.6;2500
947.13081;197.06;1000
764.042156;0;7500
5347.814547;0;7000
10598.46777;2084.48;21500
2163.678757;5779.36;6500
3057.400553;1025;7500
19.354559;689.7;10000
264.811595;28.65;9000
1108.22253;944.96;1500
906.573724;1039.2;13500
7679.62904;4059.93;7000
1523.911458;4075.37;6500
49.206256;870.24;8000
13673.07961;9792.23;20000
106.455975;2463.12;4000
119.760904;1859.34;20000
5837.105453;3488.49;7900
1734.510004;0;1800
2765.748281;7283.31;11000
1046.37041;295;1200
2737.367678;0;3000
4014.818167;0;8500
871.568977;648.22;1200
1610.040203;557.19;4000
114.593817;469.98;1000
5800.587339;0;6500
823.103926;131.64;8000
595.677343;5078.14;15000
1128.124563;924.6;1000
349.441102;1975.4;4000
840.804076;0;4000
975.942008;10221.35;10500
23.111088;300;12500
2187.732265;0;3000
11972.01104;5715;14000
1608.451822;0;1800
1872.926275;766.61;2300
2933.240476;0;3000
336.799916;3535.8;20000
36.236312;256.11;5300
903.29781;2697.48;2500
0;23;5000
2881.253586;117;4500
5.465999;196.81;12000
117.442684;653.73;10000
168.522709;2009.05;1200
1706.014379;147.78;6000
874.583247;516.54;900
861.001207;969.56;2400
966.251742;311.45;1500
38.615644;280.4;6150
189.687964;66.14;6000
40.417255;79.2;4000
5462.897068;1453.32;16500
3983.923705;756.54;4000
5588.846272;3507.35;11500
281.170378;3163.69;8000
130.251538;1343.19;15000
1973.814964;873;8000
5698.539876;47.55;6000
43.103899;370;23000
566.546048;405.75;2000
24.527253;261.64;4000
8350.145568;1989.28;14000
4559.779234;10848.5;7500
2.67713;43.39;4000
1570.682346;645.32;1800
7201.736985;987.1;10500
6467.885013;1464.14;11500
64.080909;927;5000
5635.860679;393.62;10000
3670.50596;965.5;7500
2458.376257;0;7500
768.004936;336.41;6000
75.647479;540;4000
2.433254;36;7500
1121.730896;878.52;1500
7.56809;144.26;11500
2053.441598;493.85;2000
2422.311938;4490.69;8500
9047.621884;11188.62;10000
3061.213971;1829.2;7000
41.642389;75.99;2700
5431.622968;1824.16;14500
6571.484039;9325.22;8500
28.461629;100;4000
4178.625215;1431.89;4000
3019.019487;2260.41;8500
1.045584;0;1200
2723.369217;10410.49;19500
1070.999446;990.7;1400
279.608696;3034.92;2900
1255.901821;1038.81;5700
2229.857287;45.65;2500
2363.489077;2641.98;3000
4014.388265;1189.52;8000
7623.224897;300;12000
3421.571922;126.69;10500
48.898611;247.09;5500
1874.716289;301.1;1950
3215.511032;1112.2;7200
237.235398;2410.07;4000
1272.927288;5350.19;8000
558.476701;630.03;5500
2814.207626;3197.24;3000
8.061012;133;3000
435.862142;1646.16;12000
6.390383;79.66;1500
9612.21512;319.92;12000
7938.559134;3677.52;12500
2344.478291;1041.63;4000
996.48222;675.96;1000
19.508047;193.14;2000
185.640313;1703.23;11500
5335.302925;0;6000
22.189283;234.16;1500
5.871769;29.68;10000
1049.496471;1322.67;11000
5570.190127;1607.88;13500
1668.591831;0;1800
2224.590946;3183;9000
2903.781184;3014.23;4500
2041.480046;7323.38;3000
7755.698607;8533.54;10000
614.263149;408.93;9000
8097.334733;3999.92;7500
1082.33027;2980.46;6000
2734.66412;560.73;7500
80.708806;569.9;9500
2554.525229;6186.77;10950
535.947221;4550.81;8500
3905.365959;150.8;7500
156.278339;1385.1;14000
5131.319584;32539.78;11500
5265.763713;410.24;16500
2.564117;47.95;1500
1873.084577;126.57;2100
32.124999;380.89;5700
1473.495809;414;10500
1504.82705;2010;8500
7645.108427;4693.15;13500
1129.33758;498.96;1000
668.956687;224.2;9500
2302.184366;2856.57;2500
272.711518;0;3000
4246.430225;0;7000
2420.761135;0;3000
2935.324966;409.63;5000
83.148283;843.34;6500
5469.851311;0;6000
280.142117;2236.49;10000
5790.930626;464.51;6000
3605.714046;1779;5000
3992.261885;0;4000
41.833264;456.36;6000
635.090434;5758.71;2900
1521.1681;245.98;6000
5547.092593;0;12000
2503.107213;733.9;3000
191.450711;1641.07;500
3621.70204;674.73;4000
2762.479434;2702.47;11000
4338.606862;0;8000
388.873921;1579.15;2700
9261.310686;0;11000
208.131845;2161.38;4500
169.088238;1482.19;6000
133.911556;1446.05;3500
1613.34907;0;4500
566.908563;397.06;2100
53.208422;498.17;15000
1329.967543;2009.12;2500
515.904786;5359.02;6000
927.041961;0;1000
1872.767651;0;5500
185.396312;0;1000
4823.822993;0;7000
994.105777;126.2;1950
40.089221;225;1500
0.478714;734.97;6000
4732.37354;14.95;5700
9206.811696;874.98;12500
6719.376505;0;7500
2233.074041;445.2;8000
1867.649838;0;4500
57.842746;689.34;1500
4194.033835;2006.87;21000
2459.862339;678;2500
850.630114;0.05;1000
353.198215;3085.69;8500
2669.160638;0;3000
92.440743;1080;6000
706.675991;2721.16;6500
361.319366;3095.96;14000
2324.086254;0;2300
2922.487907;71.07;9500
98.364739;65;1200
498.208616;4786.61;9000
16.93339;174.42;2500
3355.631092;242.88;13500
907.982017;216.94;3200
1132.386178;2246.3;6000
1254.6691;361.73;1500
80.336636;330;1800
260.838885;2854.11;9500
17.356961;390;2000
1897.672025;422.18;5500
1032.241153;1005.52;3000
3536.601227;2132.93;11000
21.580264;284.72;5000
4211.539631;0;10500
1732.715258;3244.16;11500
8939.461145;2490.17;9500
36.567901;1098.31;4800
41.754778;636.15;8500
1937.246177;3018.93;5000
99.955082;1222.97;19500
5135.604593;110.18;6000
214.896542;0;3000
1543.287931;0;1800
601.92037;983.77;2400
1261.05733;0;1500
85.285023;423.24;11000
1903.688611;6079.5;7300
813.068705;439.38;1200
1279.325142;1207.25;1200
237.669312;259.13;2300
5747.761139;1627.69;5500
7760.940543;0;8000
6388.108487;0;8000
426.372628;5749.96;12000
8806.866629;1490.94;9000
282.934373;0;3000
1128.229387;5068.88;4500
2045.541408;1067.28;2000
8.520292;64.12;7000
11278.95243;6855.59;18500
143.443832;1631;2500
241.223955;180.91;1400
1528.571561;0;1600
12474.72954;136.88;14000
566.147105;0;2000
1077.606225;343.21;1500
1.838084;16.5;6000
507.144348;5708.18;4000
816.82453;42.3;6000
1526.506915;46.67;1800
7957.017218;0;9000
79.189929;699.12;2500
497.908027;245.39;4000
681.95925;98;4000
1535.248256;857.36;6550
1508.513765;2747.12;5000
11209.37076;11147.33;11000
201.3504;600;1000
2502.264409;0;10000
4543.789386;255.12;8500
918.342234;1221.53;1200
5066.744231;0;13000
2259.431829;780.64;3500
437.789873;1532.1;5000
2025.162877;778.33;2000
3770.560441;964.06;6000
140.730723;1667.13;13000
5523.999416;0;8000
3298.692478;1088.83;9000
150.699542;648.64;2500
1874.843394;0;2100
3024.629054;0;4500
154.641707;1897.92;13500
1322.057239;0;6200
62.287137;1263.29;9500
16.581535;200;1200
4664.023286;340;6000
318.03434;1277.58;7000
681.615445;4117.24;6000
9335.31417;226.23;15000
6404.955912;3970.8;7500
133.405494;1346.9;8000
1403.597712;1050.83;5000
469.878834;1364.99;2000
1452.437463;0;1500
3737.175713;0;4500
6032.740391;7553.48;13500
1692.755487;570.16;9000
3534.253718;566.28;4000
654.574445;0;8000
1648.721384;0;1800
6822.877573;137.34;10000
8647.057641;0;10000
5055.582822;0;9000
4245.550244;332.82;5000
541.915572;1377.72;2500
4855.340797;0;6000
981.643409;0;1500
7057.658848;360.7;8000
4264.307261;222.64;4500
4503.390811;1634.74;13000
969.294446;0;1200
4479.115547;759.15;6000
37.753941;243.36;1800
7386.704481;0;10500
1265.805627;0;2500
598.78776;519;4500
3143.928913;3055.87;4500
5580.530306;2470.4;9500
576.635957;1671.6;1800
51.818382;903.36;15000
1036.595935;0;1200
21.12921;229.5;3150
1534.969344;1476.19;2500
4994.04832;2506.89;8500
4700.106602;2570;4500
9601.071318;238.34;15000
1207.888199;1342.36;4000
87.442862;786.32;7500
123.394089;1450.68;6000
395.052994;1239.46;1500
1715.459275;96.75;1800
1492.039988;4106.15;12000
636.669685;2022.38;6000
223.772475;3654.08;2500
1122.603377;883.73;3000
805.131074;795.54;1700
869.001444;0;1200
4458.055159;0;7500
2070.069187;1382.57;2400
52.229659;565.5;8500
6426.639738;4462.86;11800
206.596865;1726.67;6000
5810.748774;217;9000
3872.605467;0;4000
2597.400267;1748.73;6500
1481.43247;0;1800
1135.53683;50.98;1200
3430.981532;378.04;11300
4102.599015;1483.12;5000
150.952465;6407.67;14500
3170.537693;0;3500
911.281862;70;8500
45.753138;449.96;7000
456.648662;3355.33;6500
198.035504;0;10000
473.840442;0;3000
285.813075;3220.09;15000
204.329381;6558.55;7000
3690.177649;0;4000
327.445978;4305.05;9500
6856.045926;262.1;13000
155.644239;1626.83;13000
4263.008734;3522.57;6000
10249.71178;0;18000
813.185305;8194.05;6000
911.893997;1604.8;4500
3563.23692;709.9;7000
12478.17286;174;14000
2061.27937;0;4500
1556.376158;0;1700
126.207012;913;7500
2516.753364;606.62;2750
1199.942209;1447.01;2400
13479.28821;41050.4;17000
80.062693;727.27;20000
839.897907;1869.88;4000
128.175207;182.94;5000
47.6368;379.28;2500
1529.206464;874.94;1500
2643.343414;26402.39;16500
2924.757622;0;3000
5036.870531;1752.15;10300
32.042424;400.41;4500
2549.128288;13771.63;14500
3718.606699;1172.68;9500
4914.325665;1653.6;5000
1191.584153;4238.79;10500
98.420888;907.37;10000
1534.891604;0;3000
675.117139;0;12500
43.42718;569.34;16500
1874.601636;305.78;1500
15258.2259;529.3;19000
4497.213951;2001.19;4500
986.149218;0;3000
257.997181;1020.47;6500
4507.733288;4754.32;9500
1117.635883;0;1200
5083.397311;331.95;8000
3649.559565;1490;12500
77.45581;558.28;8000
1362.418281;1477.44;1500
189.12074;1051.1;3000
2374.663583;2242.26;2850
1112.070216;179.24;4000
2569.379868;972.65;5500
2883.906333;4620.34;7500
71.046063;1023.8;20000
3366.051663;6344.3;12000
7190.047748;1549.61;17500
68.039722;734.11;5000
5066.461251;2274.21;5000
2454.610005;1635.69;3000
64.329876;627.03;6000
1284.63314;55.5;3000
76.93561;277;8500
950.563525;7479.95;15000
5178.179489;3937.59;9500
531.455619;6300.4;16500
263.6992;1856.64;1800
492.070146;4924.41;10500
1034.660626;1308.11;1500
11547.52001;49039.57;22500
8997.488544;4604.72;9000
9149.4096;227.8;9500
1296.922119;2327.49;6000
1758.979585;1199;6750
194.493602;1174.76;4500
3294.37955;0;4000
5404.202992;469;7000
5484.800476;0;6000
181.463092;133.39;2500
1311.732049;10700.63;6000
542.218074;0;1500
1029.101022;49.1;1000
1202.975648;11313.77;6000
1095.379426;0;1200
4546.766836;3525.37;15000
28.934197;258.74;12000
3457.086184;2448.6;1700
23.290641;293.99;12500
9559.783145;709;10500
2154.175363;1628.07;5000
2627.184835;0;3150
2689.586312;0;7000
11.890862;165;15000
3452.538704;11681.64;10500
1068.031748;98.97;2500
7295.920263;0;7500
7975.19143;1142.15;9000
1866.608592;1494.5;8500
259.467265;646.24;10000
1298.191599;0;3500
313.387813;3608.88;15000
7088.358802;0;7500
4458.045588;0;5000
2690.771926;12465.21;13000
15244.74865;7823.74;19000
0.327199;24.64;1800
2492.726282;27957.68;9000
47.424621;372;4000
4114.723127;1841.62;7500
2450.031338;1678.07;6500
8781.831676;11674.64;16000
1642.024936;2094.38;4500
2739.836747;0;3000
1946.447038;411.38;2500
9.962695;99.19;4000
394.269079;525;2500
5935.917803;1956.06;11500
266.588825;1750.51;3500
917.732846;18.41;1000
3183.529482;386.12;4000
2071.736764;0;2100
6980.581442;0;14500
724.261595;625.46;7500
2469.665655;963.13;7000
202.190447;2011.81;2100
6787.661776;99.5;8000
107.298227;1084.09;8000
3946.876897;207;8500
1246.393805;1757.47;5000
7155.328723;3837.59;9500
2147.939753;117.57;8000
32.612745;1223.41;6000
5380.796813;1710.24;6000
3419.661676;11.06;4000
8900.194109;0;12000
837.950585;8273.18;7000
2113.098241;619.93;4000
16.371699;190;4000
3774.063585;7680.08;11500
1088.031913;9734.63;8500
2.175751;0;3000
5248.392421;8403.17;13000
9.581344;118.6;3300
3123.339488;11202.09;7500
1670.928797;794.52;1750
537.389322;1704.22;1500
1803.955439;1044.43;5000
2394.126386;3651.59;4500
544.879717;6477.6;7500
288.474257;1025.03;2800
1434.097191;0;2400
79.554406;472.71;16000
2134.513436;733.35;3000
4925.502001;3050.72;11500
62.32157;601.35;7000
1062.752143;0;1200
5347.377116;0;10500
8.555864;0;5000
164.649775;1764.86;10000
299.765294;2352.2;6500
3725.636832;0;4000
306.877248;3877.85;12500
14411.95798;5958.17;15000
1759.969888;5969.33;16500
1482.235539;14604.87;15500
6014.806806;433.63;7000
5619.157028;2790.76;14000
365.12275;571.32;4000
1728.079372;0;1800
1043.249828;281.25;1200
2571.925816;1701.9;3000
7760.5254;14332.92;16000
61.644247;490.6;18000
0;0;9000
1724.2041;8371.19;3800
558.989996;4552.44;5000
15.728894;202;2000
3808.073463;6030.34;7000
28.394518;379.3;2500
2515.968879;1877.24;8500
408.069031;3660.97;7500
975.165854;2281.56;20000
879.190921;45.65;1200
2331.38017;1919.66;6000
27.20711;685.08;13000
1418.254924;362.13;1200
1.979916;80;1500
331.586253;3703.36;7500
10359.45471;12650;10500
2144.477682;228.35;4000
2927.082849;0;4000
654.747715;1969.24;12000
1162.770552;533.36;1200
4094.433899;0;7500
278.142977;1901.94;4500
5941.847384;0;7000
983.339069;5601.54;7500
820.05973;162.56;1000
7025.757291;66.32;9000
1.411754;19.9;6500
5656.069801;362.36;8000
2705.591995;818.02;3000
235.294264;1286.2;4000
3472.806962;1800;6000
2892.138807;0;3000
145.973232;1131.08;18000
1943.792266;83.35;4000
2119.537904;342.07;3000
233.395491;2025;6000
318.186198;3548.64;20000
448.190189;1687.29;11500
908.354652;231.35;1000
546.844163;2427.26;5000
763.327047;579.28;1200
1495.801569;420.03;6600
7006.751866;328.92;10000
4414.952906;419.64;4200
255.052529;3267.03;6000
1167.045536;294.13;1500
3063.017462;0;5500
1546.216153;0;3000
999.392635;0;1500
3386.99251;171.92;4500
963.572006;2210.97;9500
454.580913;1229.57;2700
2572.508325;64;2800
2596.59993;0;3000
13763.47358;9670.84;17500
1861.026633;7446.18;10000
5422.456378;0;14000
838.616485;375.57;6000
446.735142;5228.36;3000
88.823762;291.65;8000
821.916526;1386.4;1500
3714.539663;1307.16;5000
7811.234174;0;16000
1024.761905;77.99;1200
2386.932058;861.79;6000
15.492415;65;3000
2643.876192;798.34;4500
4881.822347;0;8500
1855.212121;32.22;2000
13774.74154;404.24;14500
251.151609;0;1200
1355.180523;8820.67;6500
6713.551391;7590.08;10000
2398.26262;0;6000
1433.857464;1613.74;1500
142.406825;1214.74;11000
660.397749;776.89;1500
4834.586867;0;5500
2571.284657;0;2750
492.916599;4371.82;20000
2752.146656;1648.53;6500
7715.659048;0;11500
0.25571;24;1500
95.865855;1123.58;1500
1439.343061;571.91;2100
5603.045332;0;7500
1.691842;0;1500
83.279345;1080.11;9000
1157.168369;0;3000
1560.533094;749.57;6000
1575.508838;0;2500
1544.979869;880.19;1500
1350.286625;642.33;9000
1261.488342;890.2;3000
1274.851959;1798.24;1500
1646.715644;2720.68;5000
3121.267822;4139.56;9000
3406.473855;1140;3650
4006.206157;169.28;6000
915.424422;0;1200
4193.283047;183.7;10500
10397.09989;0;13000
2830.364475;1412.76;5000
5499.895765;0;6000
815.427615;1936.01;2000
756.041971;2486.1;4000
5271.415483;0;6500
23.276656;796.56;4000
5639.464394;717.18;7000
5308.90635;0;9500
62.209376;782.88;3000
2052.32561;0;2000
56.720267;260;5500
1121.068043;0;1200
9470.18498;49.19;12000
2388.503738;4021.29;5000
1955.179305;503.45;10500
432.915949;4430.17;8500
2027.896903;933.5;3000
1252.58309;1163.93;5000
1822.43199;177.23;2500
1557.750089;283.6;5000
3879.064446;9796.28;19000
708.509086;2109.61;6500
2748.60877;0;3000
4343.537475;1326.3;4500
8646.143734;0;10000
90.445498;0;3500
9164.724752;3407.69;9500
298.592251;1804.09;7500
88.242406;758.31;6000
14.731998;121.5;4000
5211.229218;0;5500
835.007085;90.39;1500
2302.479845;0;2600
1782.997768;0;10000
2435.823938;749.3;8500
10.096031;184.92;4000
1524.409377;70;1500
1819.529197;219.26;2500
4.607593;44.55;6000
644.530629;268.68;1200
147.180819;0;2600
197.555397;1876.8;5000
1716.622291;455.76;1700
26.680023;520.5;4000
5359.980872;0;6000
772.54691;8519.02;17500
83.477053;0;3000
2654.816967;0;4000
81.762162;777.04;7500
1373.277423;0;3300
1773.445786;4504.25;8500
227.07351;2370.01;4200
155.924331;517.14;3000
4767.644535;806;8000
2574.852985;578.66;9500
3405.005439;8.4;10500
3517.561446;173.69;5000
1748.546186;74.98;1800
4.503251;60.24;4000
2717.915641;1500;4600
1841.359829;2280.58;1800
1399.729932;0;3000
674.817091;1152.83;7000
2406.569238;0;2400
285.308422;0;3000
1011.110679;186.11;3000
1358.890643;89.9;7000
1392.773202;221.61;1700
487.584965;4768.27;2500
1892.439622;86.7;2000
3957.419199;1162.63;7500
920.968431;977.38;3350
227.781773;1497.82;3500
4270.148411;363;5500
4115.739163;0;8500
1375.845223;0;1500
1300.593766;0;3000
1437.895562;350;4000
1304.357015;1488.8;2000
1372.725482;992.25;4500
938.177781;1288.42;1500
129.3741;1102.72;4000
161.198861;536.68;1000
825.977042;0;2500
230.359954;2163.12;4000
3616.993845;0;5500
8220.740014;5197.22;13000
4438.521324;591.84;17000
2210.404961;1790.64;10500
2315.003636;0;3000
1255.779743;385;5000
62.596086;475;1500
5280.649637;0;6000
170.907823;1366.3;2000
1271.212003;76.94;1500
11083.32542;2126.7;15000
992.599867;100;1200
10131.00055;0;14500
4419.30294;12551.95;17000
2173.621597;200;8000
9901.685569;2190.95;11500
2320.309453;2896.05;13500
910.072514;18.05;1000
1374.460976;1990.81;5000
0;199.88;4000
268.493643;4917.48;13500
1827.200326;1325.27;4000
1029.66874;1448.59;1200
993.533549;851.68;1500
3150.679884;0;3500
11654.55492;463;12500
1254.970145;769.34;7000
2174.018945;377.1;2600
1076.029456;0;1200
1444.365154;780.14;9000
2767.545277;3480.24;12500
1382.310939;0;1500
716.017731;0;12000
1890.397414;2493.67;3000
1948.434315;324.3;5000
44.910575;444.96;3000
802.274379;150;6000
6059.861762;250.32;7000
847.013195;0;1200
1843.308668;89.66;2000
21.681508;299.04;7500
3558.685862;1036.19;7300
14581.45914;0;18500
902.099225;5080.85;8000
1081.065726;554.85;2100
9255.143419;5153.28;11500
228.909884;2617.85;1800
1486.051056;716.98;1600
337.317432;4193.91;3000
2643.39225;965.84;4300
4007.029155;7597.09;6500
128.375213;0;9500
2903.779416;360.3;11500
233.694622;1772.55;1200
150.52492;1850.31;14000
3066.86081;84.65;8000
11.35774;223.5;17500
6366.085376;407.86;12500
53.339006;315.48;1000
1917.203534;0;2000
361.588846;312.69;7500
5878.663267;1230.08;6500
7143.680599;0;13000
559.944819;0;3000
79.625341;701.44;6000
1701.20332;302;2000
993.662006;348.88;1200
939.152528;3393.25;9000
7427.807223;205.89;9500
2746.923673;0;6500
24.820164;209;1500
31.702357;1051.52;4600
1023.323593;253.37;1200
2.957267;202.72;4500
1068.434064;27;1200
6725.109914;6335.65;11000
515.135703;2457.48;7000
0.867528;26.62;4500
542.051302;4896.9;2500
39.798993;20.09;3200
1894.11023;678;2000
5980.58247;0;11000
176.721561;1707.26;3300
4223.832142;0;4500
55.741802;963.35;14000
179.290727;2540.9;5000
634.825209;1478.36;1200
6002.618198;0;6500
1104.960744;45.65;1200
851.278168;0;3000
914.222213;563.39;900
3122.171879;974.3;3000
645.528692;0;10000
1803.898764;562.01;1800
330.273411;53.8;2500
1168.040482;1113.1;6500
4593.577983;0;5250
391.179957;7363.38;4500
12358.32132;421.15;17000
95.645669;566.43;9000
2072.457624;17409.21;19500
3215.307061;0;3500
2437.750644;1177.64;3000
460.432607;1009.44;4000
1895.695148;200;2000
51.161976;736.72;4500
40.332553;158.37;3000
1.355556;0.01;6500
1462.280124;516;1500
337.629461;251.44;6000
1518.813947;2110.98;1700
1538.569369;3852.37;6000
1084.291919;270;1200
3908.10498;1238.12;6000
16.553858;308.16;2500
243.010712;0;12000
463.07144;1817.84;6000
192.037218;1000;1500
1493.440295;0;1600
853.34928;3209.14;10000
1295.446588;886.37;1800
4890.470857;0;7500
1905.101343;455.72;3000
69.016286;749.9;1500
2872.838687;555;3000
2437.73951;1093.93;2900
160.816558;1755.76;2500
2802.369018;829.15;3000
4618.091584;541.68;8500
3108.393701;26582.34;28000
3946.421177;1508.54;8500
560.414016;99;1000
2001.030926;1534.98;4000
1216.893766;76.3;1200
343.966223;3927.12;5500
887.679317;1486.31;1800
5573.146558;435.14;7000
31.490163;280.35;4000
1464.19148;367.94;1500
114.38833;182;1500
1355.312146;1682.06;13000
357.62718;3070.45;18500
1368.288512;34;1600
2870.08219;490.21;6000
2797.233197;2197.21;4000
1055.53207;170;1200
3421.5478;36;3500
165.700863;1806.97;3500
5317.783607;0;6500
1532.278572;2612.1;6500
1506.516549;1188.78;6500
195.804466;0;1950
2845.16043;735.09;10500
1268.352178;1533.28;1200
1250.394614;443.99;3500
9.503968;96.62;4500
2285.068731;0;2500
2928.756699;160.92;3000
1460.178578;937.96;1500
2022.469335;22.5;10000
1651.127455;720.18;5000
76.483078;69;4500
3766.072756;64.82;4150
1083.07662;0;1200
250.123525;2655.99;3600
41.146561;825;2500
3340.233396;1783.57;8000
97.649883;1092.59;18000
253.143106;0;5000
1239.889457;3914.15;9500
3846.498183;788.54;4200
12373.33348;830.15;11000
1958.327414;0;2100
411.727643;1037.82;6500
1548.76729;723.65;8500
2128.151695;0;2100
1046.785259;0;3000
640.595851;2496.57;3000
270.096134;3061.26;6000
1583.622027;45.65;1700
380.384776;1188;9000
445.409094;307.11;1500
117.949494;1368.88;4500
2608.143732;207.68;3000
48.521324;514.97;5500
1076.571029;45.65;1200
2294.145941;29.29;2100
25.570988;45.65;1500
5049.442457;0;8500
5516.201451;0;6000
300.782119;2590.95;10000
1133.090254;85.92;1200
5842.231445;452.59;7500
7.980453;0;9500
4677.242936;125;5000
1095.27596;119;1200
6432.685892;0;7000
328.242971;1555.66;3500
448.788728;32.38;5000
209.178326;34;6000
1463.302373;0;17000
7024.269179;130.4;10200
68.690623;734.37;10500
1268.144319;0;1500
28.329892;292.59;5000
140.349336;1042.52;6000
1838.106824;2682.25;4500
1688.534078;280;1800
1048.067171;0;1200
4862.641586;1302.37;6000
554.289791;90;7000
65.645186;735.69;3000
1389.598597;6058.03;4000
230.161419;750.05;14000
56.536572;499.92;3000
39.37618;256.5;1200
52.0899;230.15;1600
224.937583;1956.8;10000
8823.284205;3719;15500
1005.332554;0;1200
160.852061;4704.98;4500
1594.527848;60;1800
5961.863054;320.08;7000
864.975705;66.7;1000
2683.746154;130;4500
6.914784;71.4;2000
1747.11949;285.45;3000
4069.525304;259.84;7500
601.369472;35.8;750
1050.92679;150;1000
62.635576;611.31;1500
814.269404;0;1200
1026.874467;153.96;8500
42.125651;453.89;6500
367.596554;0;1200
3409.130731;0;6000
15.216647;133;1200
206.305547;1594;4500
3892.22326;929.99;6500
39.274052;431.49;1500
413.987831;985.79;3000
1549.600093;0;5000
8.640998;0;6000
85.79793;931.98;7500
48.157955;648.24;2000
4184.915498;0;5000
4046.574741;1757.44;4500
1522.831212;0;5000
2016.049201;1372.57;5500
72.251911;665.5;4000
5336.743176;680.97;8500
7.527502;65.75;4000
1262.88817;313.02;1500
1850.509525;0;2000
3019.820556;1158.28;7500
1382.240511;113.03;3000
6.338717;171;4000
3676.070324;2255.1;3500
451.076499;32.25;1800
5858.94756;896.18;7000
35.578362;464.51;3000
153.162696;1198.2;7000
3140.698358;1961.78;6000
2239.937878;90;3500
510.233775;436.74;3500
683.971012;294;3500
703.053063;335.99;7500
3508.560867;0;9000
8115.039014;383.42;11000
4294.953211;0;7000
256.433357;206.35;1000
297.985886;116.18;1000
1386.020611;0;6000
5311.877259;299.94;6000
417.878821;364;5000
94.241684;1019.34;5000
0.48805;121;13000
293.029263;3094.97;14500
857.843162;0;7500
4688.103434;0;5000
1373.174839;215;8500
2730.843802;2900;2900
661.423035;1109.53;7500
749.127741;80.3;1950
2391.843543;3279.57;5000
677.188172;3777.59;4000
26.787185;114;1200
20.962217;290.36;10000
952.51575;129.95;1500
6090.522273;22.16;9000
0;12.65;5000
